#tag,program,description
,opendoas,"lets execute commands as another user."
,xorg-server,"is the graphical server."
,xorg-xinit,"starts the graphical server."
,git,"is a version control system."
,vim,"is a command line text editor."
G,costamG,"komentarz super"
A,costamA,"komentarz super"
